measurement_ts,parcel_id,sensor_id,humidity,temperature,soil_ph,battery_pct
2026-01-03 19:21:00,South-2,S-033,24.5,15.1,5.59,43.2
2026-01-03 19:31:00,North-2,S-023,78.4,4.6,5.62,98.2
2026-01-03 20:07:00,North-2,S-012,24.1,0.5,7.48,46.3
2026-01-03 20:31:00,South-2,S-022,68.4,-1.9,7.5,46.2
2026-01-03 20:36:00,East-2,S-033,69.2,18.7,5.63,40.9
2026-01-03 20:51:00,South-2,S-031,72.1,3.5,7.07,15.9
2026-01-03 21:48:00,West-1,S-037,27.2,6.3,6.95,60.7
2026-01-03 21:54:00,East-1,S-021,47.7,23.7,6.32,14.8
2026-01-03 22:37:00,North-2,S-037,33.9,25.3,7.46,13.4
2026-01-03 23:09:00,South-1,S-009,26.7,15.2,6.46,78.4
2026-01-03 23:39:00,South-1,S-013,67.4,20.9,5.62,68.9
2026-01-04 00:25:00,South-1,S-017,21.0,29.3,7.45,58.6
2026-01-04 00:31:00,North-1,S-024,25.7,-1.9,7.77,11.1
2026-01-04 00:34:00,South-2,S-004,23.0,15.6,7.61,57.8
2026-01-04 01:09:00,North-2,S-013,69.5,16.6,7.18,17.6
2026-01-04 01:55:00,West-1,S-009,48.6,14.5,6.35,57.4
2026-01-04 02:04:00,South-2,S-007,71.5,8.3,7.46,69.0
2026-01-04 02:04:00,East-2,S-032,24.4,33.1,7.58,73.3
2026-01-04 03:19:00,North-1,S-034,32.6,17.8,7.77,85.4
2026-01-04 03:22:00,South-1,S-027,73.3,2.3,6.93,68.2
2026-01-04 03:38:00,North-1,S-005,79.2,15.5,6.16,26.2
2026-01-04 03:43:00,South-2,S-018,58.4,29.9,6.1,74.0
2026-01-04 05:08:00,West-1,S-034,52.1,20.9,5.89,94.0
2026-01-04 05:36:00,West-1,S-020,25.7,29.9,6.29,71.8
2026-01-04 07:11:00,East-2,S-009,78.9,6.8,5.76,53.1
2026-01-04 07:32:00,East-2,S-027,38.1,20.2,7.76,19.2
2026-01-04 08:16:00,South-2,S-024,74.3,14.5,7.53,26.6
2026-01-04 08:46:00,East-1,S-009,37.4,21.6,6.92,34.5
2026-01-04 09:06:00,West-1,S-014,27.8,5.6,6.49,73.9
2026-01-04 09:08:00,East-2,S-024,37.1,14.2,6.75,37.2
2026-01-04 09:13:00,East-1,S-029,37.7,7.7,6.34,10.1
2026-01-04 10:00:00,North-2,S-022,38.9,34.3,5.88,15.5
2026-01-04 10:00:00,East-1,S-002,25.5,17.6,6.37,50.8
2026-01-04 10:01:00,West-2,S-024,30.8,35.0,6.63,19.5
2026-01-04 10:14:00,East-2,S-021,49.2,10.1,7.02,72.4
2026-01-04 13:36:00,South-2,S-034,33.2,4.8,5.66,55.5
2026-01-04 13:38:00,North-2,S-037,63.7,26.8,5.54,54.8
2026-01-04 13:42:00,North-1,S-011,46.4,15.9,5.97,64.6
2026-01-04 13:42:00,East-2,S-025,72.4,22.8,6.3,52.2
2026-01-04 13:45:00,East-1,S-033,72.0,32.0,7.58,41.9
2026-01-04 13:45:00,East-1,S-037,40.4,17.5,7.09,83.8
2026-01-04 14:32:00,South-2,S-002,53.3,3.3,6.51,66.8
2026-01-04 14:44:00,North-1,S-031,76.2,21.9,6.15,65.4
2026-01-04 14:55:00,North-1,S-010,29.0,18.8,6.2,99.5
2026-01-04 17:25:00,North-2,S-034,50.6,31.5,6.3,75.5
2026-01-04 17:58:00,East-1,S-034,42.0,9.6,6.14,96.4
2026-01-04 18:01:00,South-2,S-017,76.7,24.7,6.64,65.5
2026-01-04 18:59:00,East-1,S-021,59.8,28.5,7.19,84.3
2026-01-04 19:04:00,South-2,S-008,50.1,31.4,5.91,82.4
2026-01-04 19:43:00,West-2,S-040,20.4,29.7,7.7,86.3
2026-01-04 20:16:00,East-2,S-005,20.7,28.7,6.46,78.9
2026-01-04 20:21:00,West-2,S-024,25.5,24.8,5.94,34.2
2026-01-04 21:20:00,West-2,S-004,41.7,25.5,7.55,84.0
2026-01-04 22:01:00,West-2,S-009,36.2,-0.5,5.58,55.7
2026-01-04 23:14:00,South-1,S-029,72.3,17.4,7.04,33.4
2026-01-04 23:32:00,South-1,S-009,73.5,5.3,7.19,66.4
2026-01-05 00:15:00,South-2,S-007,59.4,13.0,7.36,24.5
2026-01-05 00:17:00,North-1,S-015,37.5,8.2,6.74,25.1
2026-01-05 01:37:00,East-1,S-026,57.0,15.5,7.16,61.0
2026-01-05 02:06:00,East-1,S-003,34.9,14.2,6.51,57.0
2026-01-05 02:11:00,West-1,S-024,30.9,30.4,7.67,89.6
2026-01-05 02:23:00,South-1,S-036,75.8,27.9,5.52,95.4
2026-01-05 03:25:00,East-2,S-035,37.7,19.1,5.59,34.7
2026-01-05 03:38:00,North-1,S-031,28.0,10.0,7.09,71.8
2026-01-05 04:03:00,West-1,S-026,30.7,20.1,6.86,85.3
2026-01-05 04:23:00,East-1,S-021,55.5,33.7,7.26,81.0
2026-01-05 05:00:00,West-2,S-008,66.5,6.8,7.36,62.9
2026-01-05 05:26:00,West-1,S-013,49.4,20.3,6.68,15.0
2026-01-05 05:42:00,North-2,S-006,59.0,20.8,6.45,54.7
2026-01-05 05:49:00,West-2,S-040,59.0,5.1,5.67,71.6
2026-01-05 06:11:00,South-2,S-017,39.4,33.9,6.43,56.3
2026-01-05 06:35:00,East-1,S-040,74.4,27.1,6.83,43.6
2026-01-05 07:21:00,South-1,S-027,61.6,27.3,6.59,21.4
2026-01-05 07:32:00,East-2,S-023,33.4,30.2,6.47,89.8
2026-01-05 07:51:00,North-2,S-027,45.4,10.9,6.24,63.4
2026-01-05 09:01:00,South-2,S-035,71.2,10.6,7.43,78.4
2026-01-05 09:21:00,South-2,S-002,64.6,30.7,7.0,59.7
2026-01-05 09:36:00,North-2,S-001,32.8,0.9,6.87,56.7
2026-01-05 10:27:00,South-2,S-008,22.6,15.1,5.89,61.6
2026-01-05 11:18:00,West-1,S-007,41.5,10.7,6.11,13.9
2026-01-05 12:12:00,East-2,S-019,30.8,4.2,6.67,34.6
2026-01-05 12:30:00,West-2,S-022,25.7,21.1,6.87,16.0
2026-01-05 12:50:00,West-1,S-037,62.1,23.4,7.35,44.3
2026-01-05 13:53:00,West-1,S-020,36.5,25.9,6.42,60.1
2026-01-05 14:21:00,South-2,S-037,71.9,18.4,6.9,90.7
2026-01-05 14:40:00,West-1,S-015,71.9,27.1,6.94,50.8
2026-01-05 14:48:00,East-1,S-035,52.0,21.2,5.98,66.7
2026-01-05 15:48:00,North-2,S-027,51.5,22.2,7.19,25.4
2026-01-05 15:54:00,East-1,S-039,42.5,4.5,6.51,86.1
2026-01-05 16:14:00,West-2,S-020,61.1,24.3,6.57,30.9
2026-01-05 17:11:00,South-1,S-020,55.8,4.4,6.5,88.8
2026-01-05 17:20:00,North-1,S-021,67.4,0.7,6.6,49.8
2026-01-05 18:36:00,South-2,S-005,62.8,29.9,6.74,46.5
2026-01-05 18:52:00,South-1,S-037,48.3,8.8,5.71,97.0
2026-01-05 19:11:00,West-1,S-011,20.9,16.0,5.51,26.1
2026-01-05 19:17:00,South-2,S-024,76.7,29.0,6.5,86.3
2026-01-05 19:37:00,West-2,S-007,51.6,14.9,7.16,46.9
2026-01-05 19:47:00,East-1,S-019,27.4,25.4,5.89,70.4
2026-01-05 19:57:00,West-2,S-002,44.8,16.0,6.94,28.9
2026-01-05 20:17:00,South-1,S-040,56.3,3.1,7.41,19.4
2026-01-05 20:19:00,East-1,S-002,55.2,12.1,6.85,86.7
2026-01-05 20:28:00,North-1,S-022,72.6,20.9,6.87,23.9
2026-01-05 22:18:00,South-1,S-007,50.7,28.9,5.83,92.1
2026-01-05 22:23:00,South-1,S-011,67.6,33.3,6.62,89.5
2026-01-05 23:11:00,South-1,S-040,54.2,1.0,7.8,49.8
2026-01-05 23:32:00,East-2,S-034,79.0,13.5,7.71,97.5
2026-01-06 01:14:00,South-2,S-030,62.2,13.8,5.74,81.3
2026-01-06 01:47:00,North-2,S-031,70.2,30.2,5.57,42.9
2026-01-06 03:14:00,West-2,S-027,68.8,3.5,6.15,20.8
2026-01-06 03:50:00,North-1,S-019,72.0,22.0,6.03,44.3
2026-01-06 05:23:00,North-2,S-031,63.4,20.4,7.31,73.6
2026-01-06 05:27:00,East-2,S-023,30.0,20.7,6.8,68.1
2026-01-06 06:29:00,East-1,S-032,65.7,24.1,6.78,13.7
2026-01-06 07:09:00,South-2,S-005,42.4,32.9,6.41,19.1
2026-01-06 07:09:00,North-2,S-040,56.6,29.8,5.73,60.6
2026-01-06 08:05:00,East-1,S-024,44.8,10.6,7.6,81.6
2026-01-06 10:05:00,West-1,S-017,51.2,-1.9,6.54,84.9
2026-01-06 10:20:00,West-1,S-026,77.7,8.1,6.39,86.6
2026-01-06 10:56:00,East-2,S-030,62.0,26.4,5.89,64.7
2026-01-06 11:07:00,South-1,S-022,26.7,14.1,6.54,95.8
2026-01-06 12:04:00,North-2,S-036,29.3,8.4,5.98,40.9
2026-01-06 12:35:00,North-2,S-003,20.6,3.1,6.99,39.6
2026-01-06 12:46:00,North-2,S-016,63.3,19.9,6.25,27.9
2026-01-06 13:44:00,East-1,S-024,61.6,16.9,6.46,22.4
2026-01-06 13:48:00,South-1,S-035,68.8,19.3,7.1,96.9
2026-01-06 14:06:00,South-1,S-034,26.2,21.3,6.58,69.4
2026-01-06 14:42:00,North-1,S-025,59.3,23.4,6.23,42.6
2026-01-06 15:22:00,West-1,S-039,55.8,20.9,7.28,44.2
2026-01-06 15:45:00,East-2,S-026,49.3,23.5,7.7,68.8
2026-01-06 15:45:00,West-1,S-032,53.0,27.6,7.14,39.2
2026-01-06 16:15:00,North-2,S-029,30.3,10.1,6.38,61.9
2026-01-06 16:25:00,West-1,S-013,77.0,18.5,6.65,21.4
2026-01-06 17:28:00,West-2,S-021,61.4,-1.6,5.98,62.3
2026-01-06 18:23:00,South-2,S-022,60.9,12.8,6.95,96.3
2026-01-06 18:48:00,East-2,S-039,21.8,-1.1,6.68,23.7
2026-01-06 19:03:00,South-1,S-026,49.0,4.8,6.04,86.3
2026-01-06 19:16:00,South-1,S-022,51.6,17.4,7.1,65.1
2026-01-06 19:39:00,East-2,S-037,48.7,16.1,6.15,79.5
2026-01-06 19:57:00,East-1,S-005,47.1,31.3,6.52,17.9
2026-01-06 20:48:00,South-2,S-025,69.6,11.2,5.91,79.1
2026-01-06 20:53:00,North-2,S-026,33.1,34.7,6.81,26.1
2026-01-06 22:11:00,West-1,S-001,57.0,31.7,7.22,74.3
2026-01-06 22:33:00,South-2,S-014,76.5,13.6,6.46,76.0
2026-01-06 23:19:00,West-2,S-038,25.8,6.1,7.75,47.8
2026-01-06 23:49:00,North-1,S-028,24.7,23.3,5.96,84.0
2026-01-07 00:55:00,South-1,S-007,27.1,6.5,6.88,39.8
2026-01-07 00:57:00,East-2,S-012,28.8,20.9,5.61,20.3
2026-01-07 01:18:00,East-1,S-025,41.2,16.3,6.61,97.6
2026-01-07 01:44:00,South-1,S-036,65.8,4.8,7.06,40.2
2026-01-07 02:21:00,South-2,S-009,44.0,10.1,6.15,70.7
2026-01-07 02:24:00,East-1,S-039,37.5,12.2,6.96,12.5
2026-01-07 02:37:00,West-1,S-030,20.7,22.2,7.04,48.0
2026-01-07 03:19:00,North-2,S-014,47.3,-0.8,5.86,60.3
2026-01-07 03:44:00,North-2,S-005,38.6,35.0,7.15,57.3
2026-01-07 03:53:00,West-1,S-037,68.2,4.8,5.75,26.6
2026-01-07 04:03:00,East-2,S-024,43.1,14.7,6.93,28.3
2026-01-07 04:34:00,North-1,S-012,58.0,31.5,7.39,18.8
2026-01-07 05:51:00,South-2,S-028,42.5,3.4,7.19,86.6
2026-01-07 06:22:00,West-2,S-005,33.7,1.3,7.35,19.3
2026-01-07 06:31:00,West-2,S-016,67.1,27.9,5.94,18.7
2026-01-07 06:46:00,South-1,S-004,32.5,7.0,7.25,53.0
2026-01-07 08:14:00,West-2,S-033,50.6,12.7,6.65,69.6
2026-01-07 09:34:00,East-1,S-038,55.9,21.3,6.96,60.8
2026-01-07 09:55:00,West-1,S-024,79.6,12.2,7.5,91.6
2026-01-07 10:41:00,South-1,S-021,56.2,23.7,6.6,26.0
2026-01-07 11:40:00,South-2,S-031,51.2,3.5,7.55,22.6
2026-01-07 11:52:00,North-1,S-011,49.8,10.8,6.69,84.0
2026-01-07 11:53:00,West-1,S-013,58.6,27.5,6.07,99.5
2026-01-07 11:55:00,North-2,S-025,51.2,23.1,7.51,71.8
2026-01-07 12:14:00,South-2,S-032,37.8,3.6,5.97,13.4
2026-01-07 12:17:00,North-1,S-019,75.0,15.5,7.41,78.3
2026-01-07 12:48:00,North-2,S-015,46.8,23.9,5.87,29.3
2026-01-07 12:51:00,South-1,S-034,74.6,13.9,7.59,79.3
2026-01-07 13:10:00,South-1,S-004,58.5,30.3,6.78,19.2
2026-01-07 13:32:00,North-2,S-021,71.7,24.8,6.02,17.9
2026-01-07 13:54:00,East-2,S-036,43.1,32.2,7.43,23.9
2026-01-07 14:04:00,West-2,S-037,73.5,28.2,6.21,53.1
2026-01-07 14:08:00,East-2,S-036,69.0,10.2,7.24,92.1
2026-01-07 14:53:00,West-1,S-034,64.3,1.9,6.69,27.3
2026-01-07 15:24:00,West-1,S-007,35.3,5.2,5.78,86.7
2026-01-07 15:31:00,North-1,S-024,66.5,19.0,7.49,40.7
2026-01-07 16:25:00,East-2,S-032,31.3,13.0,6.32,92.5
2026-01-07 16:39:00,West-2,S-002,48.3,32.0,5.61,73.1
2026-01-07 16:55:00,North-1,S-031,45.7,-1.2,7.74,89.3
2026-01-07 17:03:00,North-1,S-016,61.9,22.0,6.54,20.3
2026-01-07 17:21:00,North-2,S-004,30.0,9.4,7.22,61.2
2026-01-07 17:30:00,South-1,S-006,22.6,6.6,7.44,47.2
2026-01-07 18:17:00,South-1,S-034,47.0,6.9,5.9,72.3
2026-01-07 19:02:00,North-2,S-007,53.7,5.7,7.67,63.4
2026-01-07 19:16:00,North-1,S-030,44.6,30.6,7.46,98.9
2026-01-07 21:00:00,East-2,S-034,44.7,23.2,5.91,25.8
2026-01-07 21:16:00,West-2,S-003,75.5,6.6,7.08,24.0
2026-01-07 21:56:00,North-1,S-019,32.2,18.0,6.32,50.7
2026-01-07 23:03:00,North-2,S-029,30.4,34.4,7.74,82.8
2026-01-07 23:31:00,South-1,S-021,74.6,31.8,5.65,44.9
2026-01-07 23:35:00,South-2,S-029,52.4,4.0,6.19,92.8
2026-01-08 00:01:00,North-2,S-009,36.5,21.4,6.76,39.3
2026-01-08 00:26:00,East-2,S-008,27.9,-0.6,7.78,93.6
2026-01-08 02:05:00,South-1,S-040,53.5,4.0,6.62,15.8
2026-01-08 02:13:00,West-2,S-005,79.6,-1.8,7.11,27.9
2026-01-08 02:35:00,West-1,S-021,48.1,30.1,5.8,93.8
2026-01-08 02:35:00,North-1,S-032,33.0,13.5,7.31,54.9
2026-01-08 02:39:00,South-2,S-002,49.0,8.9,7.62,17.7
2026-01-08 03:22:00,South-2,S-037,40.4,24.5,7.31,35.1
2026-01-08 04:27:00,South-2,S-021,77.5,4.2,6.22,80.7
2026-01-08 06:21:00,South-1,S-021,44.6,9.9,5.72,69.3
2026-01-08 07:03:00,West-1,S-038,35.2,29.6,6.47,42.9
2026-01-08 07:44:00,North-2,S-011,47.0,9.6,5.78,42.2
2026-01-08 09:11:00,South-2,S-018,47.2,25.2,7.05,16.7
2026-01-08 09:37:00,South-2,S-034,78.9,22.2,7.31,80.2
2026-01-08 09:55:00,South-2,S-020,63.3,26.7,6.81,17.6
2026-01-08 10:02:00,East-1,S-024,50.5,2.5,5.96,22.5
2026-01-08 11:23:00,South-2,S-024,75.1,12.3,7.28,71.1
2026-01-08 11:47:00,West-1,S-036,44.5,25.8,6.46,63.9
2026-01-08 11:52:00,North-1,S-036,43.5,13.6,6.59,41.3
2026-01-08 12:06:00,North-2,S-027,74.7,15.9,6.81,49.4
2026-01-08 14:18:00,North-2,S-020,25.4,23.8,7.41,75.3
2026-01-08 14:56:00,South-2,S-015,38.8,22.2,7.13,64.5
2026-01-08 15:29:00,West-2,S-017,63.1,-1.5,6.28,36.6
2026-01-08 15:56:00,East-2,S-015,58.8,23.1,6.12,46.9
2026-01-08 16:38:00,West-2,S-028,27.0,31.1,6.64,49.7
2026-01-08 17:10:00,West-1,S-010,39.0,27.1,6.37,96.8
2026-01-08 17:39:00,South-2,S-020,23.8,21.1,5.56,48.9
2026-01-08 17:49:00,West-1,S-001,79.1,7.8,7.3,51.0
2026-01-08 18:47:00,North-1,S-026,57.5,24.9,7.24,48.6
2026-01-08 19:25:00,East-1,S-029,77.8,15.4,7.48,62.7
2026-01-08 19:42:00,South-1,S-002,22.8,27.5,6.17,43.7
2026-01-08 20:49:00,North-2,S-032,31.6,3.7,6.91,40.4
2026-01-08 22:09:00,East-1,S-032,67.1,26.9,5.8,49.0
2026-01-09 00:28:00,North-1,S-039,41.1,15.5,5.5,88.6
2026-01-09 00:30:00,South-2,S-025,30.8,27.8,7.06,81.0
2026-01-09 02:14:00,South-1,S-037,66.2,21.7,6.82,82.1
2026-01-09 03:13:00,East-1,S-032,37.3,4.9,7.44,65.7
2026-01-09 03:35:00,East-1,S-001,43.8,13.7,7.68,50.9
2026-01-09 04:26:00,West-1,S-017,72.9,11.6,5.55,82.5
2026-01-09 04:35:00,North-2,S-002,27.9,11.3,7.31,63.0
2026-01-09 04:43:00,East-1,S-029,42.2,4.5,7.3,31.3
2026-01-09 05:15:00,North-2,S-011,65.4,2.5,6.62,64.4
2026-01-09 05:32:00,East-1,S-011,34.3,-0.5,6.23,21.4
2026-01-09 07:13:00,East-1,S-006,45.2,29.3,5.63,67.4
2026-01-09 08:06:00,North-1,S-037,43.5,34.8,7.72,12.9
2026-01-09 08:24:00,South-1,S-036,24.2,28.4,7.6,46.7
2026-01-09 09:20:00,West-1,S-035,65.6,30.2,5.68,10.6
2026-01-09 09:48:00,North-2,S-007,51.5,6.9,6.93,32.7
2026-01-09 10:32:00,North-1,S-036,46.8,9.6,5.59,61.8
2026-01-09 11:29:00,North-1,S-022,79.0,33.8,6.87,84.0
2026-01-09 11:31:00,East-1,S-029,22.6,11.5,7.16,97.3
2026-01-09 12:59:00,West-2,S-001,39.2,34.1,6.58,24.7
2026-01-09 13:44:00,South-1,S-026,33.3,19.3,5.62,81.9
2026-01-09 14:57:00,West-1,S-032,48.4,4.1,6.02,46.8
2026-01-09 15:22:00,North-1,S-017,76.5,15.7,7.39,46.1
2026-01-09 15:56:00,South-2,S-025,42.2,14.5,6.11,51.9
2026-01-09 16:05:00,East-1,S-013,54.2,32.9,5.91,35.4
2026-01-09 18:25:00,South-1,S-018,46.8,3.5,6.91,65.5
2026-01-09 18:27:00,East-2,S-012,24.7,34.3,6.1,70.6
2026-01-09 18:35:00,North-2,S-034,78.5,0.5,6.71,55.7
2026-01-09 19:04:00,West-1,S-029,79.6,14.8,6.1,49.6
2026-01-09 19:36:00,South-2,S-035,23.1,28.5,7.51,76.5
2026-01-09 19:52:00,North-2,S-003,68.6,13.5,7.26,89.5
2026-01-09 19:58:00,West-1,S-036,46.2,7.2,7.14,68.1
2026-01-09 21:26:00,South-2,S-015,61.2,21.6,6.59,94.7
2026-01-09 21:30:00,West-1,S-036,63.3,25.0,6.11,35.3
2026-01-09 21:40:00,South-1,S-009,57.7,31.4,6.99,37.8
2026-01-09 21:45:00,West-2,S-009,45.3,8.3,6.07,93.1
2026-01-09 23:23:00,West-1,S-036,62.7,31.0,7.25,86.1
2026-01-10 00:02:00,North-2,S-038,21.5,33.5,5.72,13.0
2026-01-10 00:13:00,North-1,S-010,76.3,2.6,5.9,59.4
2026-01-10 00:52:00,South-1,S-012,31.9,29.3,7.15,96.6
2026-01-10 01:41:00,East-1,S-007,55.9,4.2,6.24,38.5
2026-01-10 01:49:00,South-1,S-013,44.2,20.0,6.72,54.4
2026-01-10 02:12:00,South-1,S-021,45.5,25.5,6.19,51.3
2026-01-10 03:08:00,North-1,S-032,70.0,-1.0,5.97,94.8
2026-01-10 03:43:00,South-1,S-031,29.1,28.1,7.19,35.4
2026-01-10 05:45:00,East-2,S-028,30.6,7.2,6.16,50.3
2026-01-10 06:53:00,North-2,S-034,71.4,25.7,5.51,16.1
2026-01-10 06:55:00,South-2,S-027,48.9,17.8,7.3,96.9
2026-01-10 07:38:00,East-1,S-025,37.4,16.2,7.39,37.2
2026-01-10 07:51:00,East-2,S-040,50.2,29.7,5.75,31.9
2026-01-10 08:47:00,South-2,S-013,60.5,7.3,7.21,79.2
2026-01-10 09:09:00,North-1,S-026,42.8,33.0,6.66,30.3
2026-01-10 09:25:00,East-2,S-040,62.9,23.4,7.62,21.9
2026-01-10 09:54:00,South-1,S-037,69.8,12.5,6.27,19.2
2026-01-10 10:44:00,North-2,S-029,50.4,27.6,7.58,23.9
2026-01-10 10:48:00,East-1,S-011,39.7,17.3,5.77,28.5
2026-01-10 12:52:00,South-2,S-037,42.3,28.4,6.46,67.8
2026-01-10 12:54:00,South-1,S-026,57.5,31.6,6.11,38.9
2026-01-10 13:06:00,North-1,S-019,45.0,23.2,7.64,52.7
2026-01-10 13:26:00,North-2,S-012,75.6,34.5,7.49,54.1
2026-01-10 14:48:00,North-1,S-016,68.1,23.8,6.01,88.5
2026-01-10 14:54:00,East-2,S-014,62.8,19.0,7.68,75.6
